iter	Passed	Remaining
843	27658	168965
844	27690	168927
845	27721	168884
846	27754	168850
847	27789	168832
848	27822	168805
849	27853	168761
850	27885	168721
851	27916	168681
852	27945	168624
853	27976	168581
854	28010	168554
855	28041	168513
856	28072	168468
857	28102	168417
858	28132	168366
859	28161	168314
860	28194	168285
861	28224	168235
862	28256	168193
863	28291	168179
864	28323	168139
865	28359	168123
866	28390	168082
867	28421	168039
868	28454	168008
869	28485	167968
870	28518	167935
871	28549	167892
872	28588	167895
873	28620	167858
874	28647	167790
875	28677	167743
876	28709	167708
877	28740	167665
878	28769	167608
879	28803	167582
880	28833	167533
881	28864	167492
882	28898	167464
883	28931	167435
884	28966	167414
885	28995	167360
886	29028	167330
887	29060	167295
888	29092	167257
889	29121	167202
890	29153	167167
891	29184	167126
892	29218	167097
893	29248	167052
894	29279	167010
895	29313	166979
896	29344	166941
897	29380	166925
898	29425	166960
899	29462	166952
900	29493	166914
901	29528	166893
902	29561	166860
903	29592	166818
904	29623	166776
905	29652	166719
906	29684	166683
907	29720	166669
908	29762	166687
909	29791	166636
910	29826	166618
911	29858	166576
912	29888	166530
913	29922	166505
914	29955	166473
915	29987	166435
916	30017	166388
917	30049	166351
918	30077	166294
919	30110	166260
920	30142	166227
921	30172	166178
922	30200	166121
923	30231	166074
924	30263	166042
925	30293	165991
926	30324	165951
927	30357	165918
928	30392	165900
929	30425	165866
930	30457	165832
931	30488	165790
932	30519	165749
933	30553	165721
934	30585	165684
935	30619	165657
936	30651	165620
937	30683	165587
938	30716	165556
939	30751	165532
940	30782	165491
941	30818	165476
942	30851	165447
943	30882	165404
944	30922	165410
945	30956	165383
946	30985	165334
947	31016	165292
948	31049	165257
949	31082	165226
950	31111	165178
951	31142	165136
952	31188	165172
953	31219	165131
954	31254	165106
955	31285	165064
956	31322	165055
957	31355	165023
958	31393	165022
959	31425	164986
960	31455	164937
961	31487	164900
962	31518	164855
963	31551	164825
964	31585	164801
965	31617	164767
966	31662	164793
967	31694	164758
968	31729	164737
969	31761	164703
970	31791	164654
971	31822	164610
972	31854	164578
973	31884	164529
974	31917	164500
975	31950	164464
976	31984	164438
977	32017	164407
978	32048	164367
979	32078	164320
980	32110	164282
981	32142	164248
982	32175	164214
983	32205	164170
984	32235	164123
985	32272	164113
986	32305	164078
987	32346	164088
988	32381	164068
989	32415	164040
990	32447	164007
991	32485	164000
992	32517	163963
993	32552	163943
994	32588	163924
995	32628	163929
996	32661	163897
997	32698	163888
998	32735	163876
999	32765	163828
1000	32799	163801
1001	32834	163780
1002	32870	163764
1003	32907	163749
1004	32943	163736
1005	32982	163729
1006	33025	163747
1007	33071	163781
1008	33106	163762
1009	33141	163740
1010	33176	163718
1011	33214	163710
1012	33251	163697
1013	33287	163679
1014	33324	163668
1015	33360	163652
1016	33402	163660
1017	33433	163622
1018	33467	163593
1019	33499	163557
1020	33532	163524
1021	33565	163492
1022	33598	163460
1023	33628	163413
1024	33662	163387
1025	33699	163373
1026	33731	163337
1027	33764	163302
1028	33796	163266
1029	33826	163219
1030	33859	163189
1031	33894	163168
1032	33927	163132
1033	33958	163090
1034	33989	163049
1035	34020	163010
1036	34051	162967
1037	34084	162936
1038	34115	162895
1039	34149	162868
1040	34182	162837
1041	34216	162808
1042	34247	162765
1043	34280	162732
1044	34312	162695
1045	34345	162666
1046	34379	162635
1047	34414	162613
1048	34445	162571
1049	34473	162516
1050	34505	162481
1051	34535	162435
1052	34568	162401
1053	34601	162369
1054	34632	162327
1055	34662	162285
1056	34695	162252
1057	34725	162203
1058	34759	162177
1059	34792	162148
1060	34826	162117
1061	34859	162088
1062	34891	162050
1063	34925	162022
1064	34959	161994
1065	34992	161961
1066	35021	161912
1067	35056	161889
1068	35088	161852
1069	35117	161802
1070	35151	161774
1071	35179	161722
1072	35210	161681
1073	35242	161644
1074	35276	161613
1075	35309	161582
1076	35340	161543
1077	35371	161502
1078	35403	161463
1079	35435	161427
1080	35466	161387
1081	35499	161353
1082	35533	161327
1083	35563	161284
1084	35596	161248
1085	35628	161216
1086	35659	161170
1087	35691	161137
1088	35721	161091
1089	35750	161041
1090	35781	161001
1091	35816	160979
1092	35849	160943
1093	35882	160914
1094	35911	160864
1095	35943	160826
1096	35974	160788
1097	36008	160757
1098	36041	160726
1099	36074	160697
1100	36106	160659
1101	36137	160619
1102	36171	160591
1103	36204	160559
1104	36234	160515
1105	36264	160467
1106	36294	160422
1107	36327	160392
1108	36367	160388
1109	36400	160358
1110	36435	160337
1111	36469	160306
1112	36502	160277
1113	36533	160236
1114	36563	160192
1115	36597	160165
1116	36628	160122
1117	36658	160076
1118	36689	160039
1119	36719	159992
1120	36751	159955
1121	36784	159926
1122	36822	159911
1123	36860	159905
1124	36895	159881
1125	36928	159846
1126	36965	159832
1127	37002	159819
1128	37031	159770
1129	37062	159728
1130	37095	159696
1131	37131	159677
1132	37168	159661
1133	37210	159668
1134	37246	159651
1135	37289	159663
1136	37330	159662
1137	37366	159644
1138	37401	159619
1139	37437	159602
1140	37474	159585
1141	37509	159561
