iter	Passed	Remaining
1009	45791	226235
1010	45838	226198
1011	45887	226174
1012	45943	226178
1013	45999	226188
1014	46042	226130
1015	46088	226086
1016	46135	226051
1017	46182	226013
1018	46230	225982
1019	46277	225940
1020	46326	225914
1021	46369	225859
1022	46425	225863
1023	46471	225821
1024	46512	225757
1025	46551	225677
1026	46588	225595
1027	46629	225526
1028	46667	225444
1029	46702	225353
1030	46737	225257
1031	46779	225192
1032	46821	225131
1033	46864	225077
1034	46911	225039
1035	46957	224995
1036	46998	224933
1037	47045	224893
1038	47089	224844
1039	47133	224789
1040	47178	224742
1041	47227	224716
1042	47271	224666
1043	47318	224624
1044	47362	224577
1045	47407	224528
1046	47455	224493
1047	47500	224449
1048	47547	224409
1049	47592	224365
1050	47641	224337
1051	47687	224292
1052	47730	224240
1053	47778	224203
1054	47824	224162
1055	47871	224126
1056	47920	224095
1057	47963	224041
1058	48008	223995
1059	48051	223938
1060	48096	223893
1061	48143	223852
1062	48190	223817
1063	48238	223783
1064	48284	223742
1065	48331	223703
1066	48375	223650
1067	48417	223592
1068	48462	223545
1069	48509	223504
1070	48546	223422
1071	48583	223338
1072	48620	223254
1073	48659	223179
1074	48696	223097
1075	48734	223019
1076	48775	222954
1077	48819	222905
1078	48868	222872
1079	48929	222901
1080	48977	222865
1081	49023	222824
1082	49071	222791
1083	49120	222764
1084	49165	222716
1085	49205	222648
1086	49251	222606
1087	49297	222561
1088	49339	222501
1089	49384	222456
1090	49428	222407
1091	49473	222359
1092	49519	222318
1093	49568	222289
1094	49617	222257
1095	49665	222225
1096	49711	222185
1097	49758	222146
1098	49804	222101
1099	49851	222063
1100	49898	222029
1101	49951	222015
1102	49999	221982
1103	50045	221941
1104	50092	221901
1105	50137	221855
1106	50183	221814
1107	50232	221785
1108	50281	221756
1109	50330	221727
1110	50377	221690
1111	50424	221651
1112	50467	221594
1113	50506	221520
1114	50542	221434
1115	50579	221354
1116	50617	221276
1117	50660	221219
1118	50698	221143
1119	50735	221061
1120	50778	221007
1121	50824	220963
1122	50871	220928
1123	50918	220890
1124	50963	220843
1125	51012	220812
1126	51058	220770
1127	51104	220729
1128	51152	220693
1129	51198	220651
1130	51243	220607
1131	51287	220555
1132	51334	220516
1133	51380	220472
1134	51425	220425
1135	51466	220363
1136	51510	220313
1137	51558	220277
1138	51608	220251
1139	51657	220224
1140	51707	220196
1141	51751	220146
1142	51795	220095
1143	51841	220054
1144	51890	220023
1145	51939	219996
1146	51986	219957
1147	52033	219919
1148	52081	219885
1149	52129	219851
1150	52176	219810
1151	52223	219773
1152	52271	219741
1153	52322	219719
1154	52370	219685
1155	52417	219646
1156	52461	219594
1157	52504	219541
1158	52550	219495
1159	52596	219455
1160	52633	219372
1161	52672	219304
1162	52709	219223
1163	52747	219144
1164	52788	219083
1165	52832	219034
1166	52880	219000
1167	52926	218954
1168	52973	218915
1169	53021	218882
1170	53068	218846
1171	53114	218804
1172	53160	218760
1173	53206	218718
1174	53253	218679
1175	53301	218644
1176	53349	218611
1177	53390	218549
1178	53431	218485
1179	53475	218433
1180	53520	218386
1181	53563	218330
1182	53608	218284
1183	53654	218243
1184	53699	218196
1185	53744	218150
1186	53789	218102
1187	53834	218057
1188	53880	218015
1189	53926	217971
1190	53978	217952
1191	54023	217907
1192	54067	217857
1193	54115	217822
1194	54160	217773
1195	54204	217722
1196	54251	217685
1197	54298	217645
1198	54345	217609
1199	54390	217563
1200	54436	217519
1201	54483	217478
1202	54527	217431
1203	54568	217368
1204	54605	217290
1205	54643	217214
1206	54679	217133
1207	54717	217056
1208	54757	216989
1209	54794	216913
1210	54836	216855
1211	54880	216805
1212	54921	216743
1213	54965	216692
1214	55008	216638
1215	55051	216582
1216	55093	216524
1217	55134	216465
1218	55177	216408
1219	55220	216356
1220	55263	216302
1221	55309	216259
1222	55355	216215
1223	55400	216169
1224	55445	216123
1225	55489	216072
1226	55534	216027
1227	55580	215986
1228	55625	215940
1229	55671	215898
1230	55717	215855
1231	55761	215803
1232	55803	215747
1233	55849	215702
1234	55899	215676
1235	55947	215642
1236	55990	215587
1237	56035	215541
1238	56081	215500
1239	56128	215462
1240	56177	215429
1241	56223	215387
1242	56267	215339
1243	56314	215300
1244	56361	215261
1245	56400	215189
1246	56441	215128
1247	56479	215056
1248	56515	214975
1249	56549	214888
1250	56586	214812
1251	56623	214736
1252	56660	214658
1253	56696	214576
1254	56732	214497
1255	56775	214445
1256	56818	214392
1257	56866	214358
1258	56909	214302
1259	56950	214242
1260	56995	214196
1261	57045	214167
1262	57092	214130
1263	57143	214107
1264	57188	214062
1265	57233	214016
1266	57280	213975
1267	57326	213933
1268	57370	213886
1269	57418	213848
1270	57462	213799
1271	57507	213753
1272	57551	213703
1273	57595	213653
1274	57638	213603
1275	57684	213558
1276	57728	213509
1277	57773	213463
1278	57821	213428
1279	57868	213390
1280	57916	213355
1281	57963	213316
1282	58009	213274
1283	58057	213239
1284	58100	213186
1285	58139	213119
1286	58185	213074
1287	58227	213018
1288	58275	212983
1289	58323	212947
1290	58371	212912
1291	58415	212863
1292	58458	212811
1293	58501	212756
1294	58544	212702
1295	58580	212626
1296	58620	212560
1297	58658	212491
1298	58693	212408
1299	58731	212335
1300	58773	212280
1301	58825	212258
1302	58875	212232
1303	58921	212189
1304	58968	212149
1305	59015	212113
1306	59061	212070
1307	59107	212028
1308	59156	211996
1309	59202	211952
1310	59249	211915
1311	59298	211882
1312	59342	211835
1313	59388	211790
1314	59434	211748
1315	59480	211708
1316	59527	211668
1317	59576	211636
1318	59625	211604
1319	59668	211550
1320	59714	211509
1321	59758	211459
1322	59798	211397
1323	59848	211366
1324	59897	211337
1325	59945	211302
1326	59988	211247
1327	60035	211209
1328	60081	211168
1329	60128	211126
1330	60173	211082
1331	60218	211036
1332	60264	210991
1333	60309	210948
1334	60355	210904
1335	60400	210857
1336	60448	210822
1337	60492	210773
1338	60530	210702
1339	60566	210625
1340	60601	210544
1341	60635	210463
1342	60671	210386
1343	60709	210315
1344	60754	210270
1345	60799	210223
1346	60848	210191
1347	60896	210154
1348	60942	210112
1349	60985	210061
1350	61029	210010
1351	61079	209982
1352	61127	209946
1353	61170	209895
1354	61217	209855
1355	61265	209820
